,name,wins,ties,total_games,winrate
"8S, 10C, 9D",10-9-8 straight flush,335,2,357,0.9384
"10S, 9H, 8S",10-9-8 straight flush,315,3,339,0.9292
"9S, 10D, 8D",10-9-8 straight flush,292,0,314,0.9299
"9S, 10C, 8C",10-9-8 straight flush,291,8,323,0.9009
"9C, 10C, 8D",10-9-8 straight flush,312,2,346,0.9017
"8S, 9D, 10H",10-9-8 straight flush,314,2,340,0.9235
"8S, 9C, 10H",10-9-8 straight flush,305,1,327,0.9327
"10S, 9D, 8D",10-9-8 straight flush,331,1,354,0.935
"10C, 9H, 8D",10-9-8 straight flush,302,2,327,0.9235
"8C, 10D, 9H",10-9-8 straight flush,332,2,359,0.9248
"8C, 10D, 9D",10-9-8 straight flush,300,2,330,0.9091
"9S, 8H, 10H",10-9-8 straight flush,310,4,344,0.9012
"9C, 8C, 10D",10-9-8 straight flush,330,1,357,0.9244
"9C, 10D, 8D",10-9-8 straight flush,323,2,350,0.9229
"9S, 8H, 10S",10-9-8 straight flush,341,3,371,0.9191
"9S, 8C, 10S",10-9-8 straight flush,343,0,364,0.9423
"9D, 10H, 8D",10-9-8 straight flush,307,2,331,0.9275
"8S, 9C, 10C",10-9-8 straight flush,315,5,336,0.9375
"10S, 9C, 8S",10-9-8 straight flush,310,3,339,0.9145
"10S, 8S, 9D",10-9-8 straight flush,318,4,338,0.9408
