,name,wins,ties,total_games,winrate
"KS, 6S, AS",A-top flush,1655,0,1838,0.9004
"AH, KH, 6H",A-top flush,1600,0,1802,0.8879
"6D, KD, AD",A-top flush,1601,0,1810,0.8845
"6C, AC, KC",A-top flush,1604,0,1793,0.8946
"KS, 5S, AS",A-top flush,1692,0,1902,0.8896
"AH, KH, 5H",A-top flush,1613,0,1798,0.8971
"5D, KD, AD",A-top flush,1566,0,1753,0.8933
"AC, KC, 5C",A-top flush,1595,0,1814,0.8793
"KS, 4S, AS",A-top flush,1681,0,1895,0.8871
"4H, AH, KH",A-top flush,1570,0,1769,0.8875
"KD, AD, 4D",A-top flush,1593,0,1788,0.8909
"4C, AC, KC",A-top flush,1626,0,1835,0.8861
"KS, 3S, AS",A-top flush,1568,0,1779,0.8814
"AH, KH, 3H",A-top flush,1579,0,1781,0.8866
"3D, KD, AD",A-top flush,1627,0,1822,0.893
"3C, AC, KC",A-top flush,1597,0,1779,0.8977
"KS, 2S, AS",A-top flush,1583,0,1801,0.879
"2H, AH, KH",A-top flush,1551,0,1781,0.8709
"KD, 2D, AD",A-top flush,1640,0,1875,0.8747
"AC, KC, 2C",A-top flush,1586,0,1789,0.8865
"QS, JS, AS",A-top flush,1622,0,1831,0.8859
"AH, QH, JH",A-top flush,1576,0,1787,0.8819
"QD, JD, AD",A-top flush,1536,0,1729,0.8884
"QC, AC, JC",A-top flush,1604,0,1804,0.8891
"QS, 10S, AS",A-top flush,1592,0,1813,0.8781
"10H, AH, QH",A-top flush,1603,0,1799,0.8911
"QD, 10D, AD",A-top flush,1562,0,1766,0.8845
"QC, AC, 10C",A-top flush,1640,0,1830,0.8962
"QS, 9S, AS",A-top flush,1570,0,1766,0.889
"AH, QH, 9H",A-top flush,1547,0,1721,0.8989
"QD, AD, 9D",A-top flush,1604,0,1806,0.8882
"9C, QC, AC",A-top flush,1600,0,1844,0.8677
"QS, 8S, AS",A-top flush,1562,0,1754,0.8905
"AH, QH, 8H",A-top flush,1628,0,1841,0.8843
"QD, 8D, AD",A-top flush,1647,0,1839,0.8956
"QC, AC, 8C",A-top flush,1608,0,1823,0.8821
"QS, 7S, AS",A-top flush,1591,0,1819,0.8747
